Column1.name;Column1.matches.num;Column1.matches.date;Column1.matches.time;Column1.matches.team1.name;Column1.matches.team1.code;Column1.matches.team2.name;Column1.matches.team2.code;Column1.matches.score1;Column1.matches.score2;Column1.matches.score1i;Column1.matches.score2i;Column1.matches.goals1.name;Column1.matches.goals1.minute;Column1.matches.goals1.score1;Column1.matches.goals1.score2;Column1.matches.goals1.penalty;Column1.matches.goals2.name;Column1.matches.goals2.minute;Column1.matches.goals2.score1;Column1.matches.goals2.score2;Column1.matches.goals2.owngoal;Column1.matches.group;Column1.matches.stadium.key;Column1.matches.stadium.name;Column1.matches.city;Column1.matches.timezone
Semi-finals;61;2014-07-08;17:00;Brazil;BRA;Germany;GER;1;7;;;Oscar;90;1;7;;Miroslav Klose;23;0;2;;;mineirao;Estádio Mineirão;Belo Horizonte;UTC-3
Semi-finals;61;2014-07-08;17:00;Brazil;BRA;Germany;GER;1;7;;;Oscar;90;1;7;;Toni Kroos;24;0;3;;;mineirao;Estádio Mineirão;Belo Horizonte;UTC-3
Semi-finals;61;2014-07-08;17:00;Brazil;BRA;Germany;GER;1;7;;;Oscar;90;1;7;;Toni Kroos;26;0;4;;;mineirao;Estádio Mineirão;Belo Horizonte;UTC-3
Semi-finals;61;2014-07-08;17:00;Brazil;BRA;Germany;GER;1;7;;;Oscar;90;1;7;;Sami Khedira;29;0;5;;;mineirao;Estádio Mineirão;Belo Horizonte;UTC-3
Semi-finals;61;2014-07-08;17:00;Brazil;BRA;Germany;GER;1;7;;;Oscar;90;1;7;;Andre Schürrle;69;0;6;;;mineirao;Estádio Mineirão;Belo Horizonte;UTC-3
Semi-finals;61;2014-07-08;17:00;Brazil;BRA;Germany;GER;1;7;;;Oscar;90;1;7;;Andre Schürrle;79;0;7;;;mineirao;Estádio Mineirão;Belo Horizonte;UTC-3
Semi-finals;62;2014-07-09;17:00;Netherlands;NED;Argentina;ARG;2;4;;;;;;;;;;;;;;corinthians;Arena Corinthians;São Paulo;UTC-3
Match for third place;63;2014-07-12;17:00;Brazil;BRA;Netherlands;NED;0;3;;;;;;;;Robin Van Persie;3;0;1;;;nacionaldebrasilia;Estádio Nacional (Mané Garrincha);Brasília;UTC-3
Match for third place;63;2014-07-12;17:00;Brazil;BRA;Netherlands;NED;0;3;;;;;;;;Daley Blind;17;0;2;;;nacionaldebrasilia;Estádio Nacional (Mané Garrincha);Brasília;UTC-3
Match for third place;63;2014-07-12;17:00;Brazil;BRA;Netherlands;NED;0;3;;;;;;;;Georginio Wijnaldum;90;0;3;;;nacionaldebrasilia;Estádio Nacional (Mané Garrincha);Brasília;UTC-3
Final;64;2014-07-13;16:00;Germany;GER;Argentina;ARG;0;0;;;Mario Götze;113;1;0;;;;;;;;maracana;Estádio do Maracanã;Rio de Janeiro;UTC-3
